name,title,categories,inserter,bytes
core/query-standard-posts,標準,query,yes,576
core/query-medium-posts,圖片位於左側,query,yes,812
core/query-small-posts,小型圖片及標題,query,yes,919
core/query-grid-posts,格狀顯示,query,yes,749
core/query-large-title-posts,大型標題,query,yes,1750
core/query-offset-posts,交錯,query,yes,1777
core/navigation-overlay,Navigation Overlay,navigation,yes,1073
core/navigation-overlay-black-bg,Overlay with black background,navigation,yes,1656
core/navigation-overlay-accent-bg,Overlay with orange background,navigation,yes,1926
core/navigation-overlay-centered,Overlay with centered navigation,navigation,yes,1322
core/navigation-overlay-centered-with-extras,Overlay with site info and CTA,navigation,yes,2930
woocommerce-blocks/banner,Banner,woo-commerce|featured-selling,yes,4307
woocommerce/coming-soon-entire-site,Coming Soon Entire Site,woo-commerce,no,5167
woocommerce/coming-soon-store-only,Coming Soon Store Only,woo-commerce,no,1182
woocommerce/coming-soon,Coming Soon,woo-commerce,no,68
woocommerce-blocks/content-right-with-image-left,Content Right with Image Left,woo-commerce|about,yes,3620
woocommerce-blocks/featured-category-cover-image,Featured Category Cover Image,woo-commerce|intro,yes,3888
woocommerce-blocks/featured-category-triple,Featured Category Triple,woo-commerce|featured-selling,yes,8241
woocommerce-blocks/footer-large,Large Footer,woo-commerce,yes,3729
woocommerce-blocks/footer-simple-menu,Footer with Simple Menu,woo-commerce,yes,2285
woocommerce-blocks/footer-with-3-menus,Footer with 3 Menus,woo-commerce,yes,2848
woocommerce-blocks/four-image-grid-content-left,Four Image Grid Content Left,woo-commerce|about,yes,5275
woocommerce-blocks/header-centered-menu,Centered Header Menu,woo-commerce,yes,2540
woocommerce-blocks/header-distraction-free,Distraction Free Header,woo-commerce,yes,708
woocommerce-blocks/header-essential,Essential Header,woo-commerce,yes,1422
woocommerce-blocks/header-large,Large Header,woo-commerce,yes,2614
woocommerce-blocks/header-minimal,Minimal Header,woo-commerce,yes,1628
woocommerce-blocks/heading-with-three-columns-of-content-with-link,Heading with Three Columns of Content and Link,woo-commerce|services,yes,5222
woocommerce-blocks/hero-product-3-split,Hero Product 3 Split,woo-commerce|featured-selling,yes,6566
woocommerce-blocks/hero-product-chessboard,Hero Product Chessboard,woo-commerce|featured-selling,yes,8389
woocommerce-blocks/hero-product-split,Hero Product Split,woo-commerce|intro,yes,3243
woocommerce-blocks/centered-content-with-image-below,Centered Content with Image Below,woo-commerce|intro,yes,3583
woocommerce-blocks/just-arrived-full-hero,Just Arrived Full Hero,woo-commerce|intro,yes,1740
woocommerce/no-products-found-clear-filters,No Products Found - Clear Filters,woo-commerce,no,356
woocommerce/no-products-found,No Products Found,woo-commerce,no,88
woocommerce/page-coming-soon-default,Default Coming Soon,woo-commerce,no,5159
woocommerce/page-coming-soon-image-gallery,Coming Soon Image Gallery,woo-commerce,no,12102
woocommerce/page-coming-soon-minimal-left-image,Coming Soon Minimal Left Image,woo-commerce,no,6792
woocommerce/page-coming-soon-modern-black,Coming Soon Modern Black,woo-commerce,no,4606
woocommerce/page-coming-soon-split-right-image,Coming Soon Split Right Image,woo-commerce,no,6192
woocommerce/page-coming-soon-with-header-footer,Coming Soon with Header and Footer,woo-commerce,no,1225
woocommerce-blocks/product-collection-3-columns,Product Collection 3 Columns,woo-commerce,yes,1839
woocommerce-blocks/product-collection-4-columns,Product Collection 4 Columns,woo-commerce|featured-selling,yes,3825
woocommerce-blocks/product-collection-5-columns,Product Collection 5 Columns,woo-commerce|featured-selling,yes,3790
woocommerce-blocks/product-collection-featured-products-5-columns,Product Collection: Featured Products 5 Columns,woo-commerce|featured-selling,yes,4422
woocommerce-blocks/product-query-product-gallery,Product Gallery,woo-commerce|featured-selling,yes,3897
woocommerce/product-search-form,Product Search,woo-commerce,no,127
woocommerce-blocks/related-products,Related Products,woo-commerce,no,1930
woocommerce-blocks/social-follow-us-in-social-media,Social: Follow Us on Social Media,woo-commerce|social-media,yes,5914
woocommerce-blocks/testimonials-3-columns,Testimonials 3 Columns,woo-commerce|reviews,yes,3999
